place_name_008,geonames_country_code,geonames_admin1_code
Alabama,US,AL
Alaska,US,AK
Alberta,CA,01
Arizona,US,AZ
Arkansas,US,AR
British Columbia,CA,02
California,US,CA
Canada,CA,
Colorado,US,CO
Connecticut,US,CT
Delaware,US,DE
District of Columbia,US,DC
England,GB,ENG
Florida,US,FL
Georgia,US,GA
Hawaii,US,HI
Idaho,US,ID
Illinois,US,IL
Indiana,US,IN
Iowa,US,IA
Kansas,US,KS
Kentucky,US,KY
Louisiana,US,LA
Maine,US,ME
Manitoba,CA,03
Maryland,US,MD
Massachusetts,US,MA
Michigan,US,MI
Minnesota,US,MN
Mississippi,US,MS
Missouri,US,MO
Montana,US,MT
Nebraska,US,NE
Nevada,US,NV
New Brunswick,CA,04
New Hampshire,US,NH
New Jersey,US,NJ
New Mexico,US,NM
New South Wales,AU,02
New York (State),US,NY
Newfoundland and Labrador,CA,05
North Carolina,US,NC
North Dakota,US,ND
Northern Ireland,GB,NIR
Nova Scotia,CA,07
Ohio,US,OH
Oklahoma,US,OK
Ontario,CA,08
Oregon,US,OR
Pennsylvania,US,PA
Prince Edward Island,CA,09
Queensland,AU,04
Québec (Province),CA,10
Rhode Island,US,RI
Saskatchewan,CA,11
Scotland,GB,SCT
South Carolina,US,SC
South Dakota,US,SD
Tennessee,US,TN
Texas,US,TX
United Kingdom,GB,
United States,US,
Utah,US,UT
Vermont,US,VT
Victoria,AU,07
Virginia,US,VA
Wales,GB,WLS
Washington (State),US,WA
West Virginia,US,WV
Western Australia,AU,08
Wisconsin,US,WI
Wyoming,US,WY
